id,cases,file_name,file_id,data_type,submitter_id,data_category,experimental_strategy
08b0fe4c-ee3c-4510-b75a-6d240cb038cc,"[{'case_id': '4bf50455-9ab7-4521-a791-089f66d3b877', 'submitter_id': 'TCGA-B6-A0RT'}]",e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af.rna_seq.augmented_star_gene_counts.tsv,08b0fe4c-ee3c-4510-b75a-6d240cb038cc,Gene Expression Quantification,825ba963-7477-450f-a275-85557865c349,Transcriptome Profiling,RNA-Seq
dbe79158-b616-4c7b-94d7-5f127b3013ff,"[{'case_id': 'f947d67f-4aa2-4eb9-977e-21a5ae563613', 'submitter_id': 'TCGA-A8-A08P'}]",2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4.rna_seq.augmented_star_gene_counts.tsv,dbe79158-b616-4c7b-94d7-5f127b3013ff,Gene Expression Quantification,8da2fed3-6bd6-4e19-b32e-a7ad7c382300,Transcriptome Profiling,RNA-Seq
a436c52a-e63f-4d61-bc60-eb497c196489,"[{'case_id': 'a68a3361-48b4-4bd0-999d-b4cc3d43eb4a', 'submitter_id': 'TCGA-BH-A0HN'}]",ff0feb3e-6d14-4297-ac23-1eb397663ec3.rna_seq.augmented_star_gene_counts.tsv,a436c52a-e63f-4d61-bc60-eb497c196489,Gene Expression Quantification,8331ea25-3598-4368-bff5-dfce54d5a2c3,Transcriptome Profiling,RNA-Seq
e4086c26-d200-4e42-8249-ed8cbeec0951,"[{'case_id': '96457ebf-ae88-41f4-97e5-cdc3163418aa', 'submitter_id': 'TCGA-BH-A0H0'}]",99d31369-3db2-4631-bc62-1aa6927476ad.rna_seq.augmented_star_gene_counts.tsv,e4086c26-d200-4e42-8249-ed8cbeec0951,Gene Expression Quantification,48d48210-115c-4827-a7a5-5f0b21bae0d3,Transcriptome Profiling,RNA-Seq
08837ae7-6f4f-4aa1-8722-7c404b66ed75,"[{'case_id': '30ec8b1f-28c4-4f46-8a1b-a8d51e558c7d', 'submitter_id': 'TCGA-BH-A18T'}]",828c9648-f725-4d7e-ad37-e33692e2c67f.rna_seq.augmented_star_gene_counts.tsv,08837ae7-6f4f-4aa1-8722-7c404b66ed75,Gene Expression Quantification,7891a539-6653-4003-b05a-01f6d32c1a76,Transcriptome Profiling,RNA-Seq
ad4b2d76-b4bb-457d-903f-823630a4d37b,"[{'case_id': '0f64edec-0f1f-4025-8a53-75f9534f7828', 'submitter_id': 'TCGA-BH-A0H9'}]",0940092b-46da-4975-bde7-f205fe12707b.rna_seq.augmented_star_gene_counts.tsv,ad4b2d76-b4bb-457d-903f-823630a4d37b,Gene Expression Quantification,b53d4582-aa6a-4a61-adab-0f12a4304ef0,Transcriptome Profiling,RNA-Seq
1f9a9190-4157-457e-9794-a9217d2aa2f8,"[{'case_id': 'c2b104ee-f914-4e79-9e1b-56bf88157472', 'submitter_id': 'TCGA-E2-A14S'}]",cf4160bb-9ef4-43c1-ac83-f6ca897101ee.rna_seq.augmented_star_gene_counts.tsv,1f9a9190-4157-457e-9794-a9217d2aa2f8,Gene Expression Quantification,35e9a0b5-6f1e-445f-b175-90a20713b9bc,Transcriptome Profiling,RNA-Seq
c95841fa-ea90-4a12-99aa-5c342af9e0e8,"[{'case_id': '5258294f-ef5b-4091-9183-6bcc545d54b2', 'submitter_id': 'TCGA-BH-A209'}]",4bd484be-2364-4a9c-841e-b60bee25af79.rna_seq.augmented_star_gene_counts.tsv,c95841fa-ea90-4a12-99aa-5c342af9e0e8,Gene Expression Quantification,39c641d3-d457-4afc-ae81-2782a3395d6a,Transcriptome Profiling,RNA-Seq
cd417f4e-c065-4e73-a7c7-955b2fe71add,"[{'case_id': '5ed024e8-d05e-4c65-9441-eda9930ccc82', 'submitter_id': 'TCGA-A7-A26G'}]",d05914c2-e76a-4050-b0bf-db3a08c1892e.rna_seq.augmented_star_gene_counts.tsv,cd417f4e-c065-4e73-a7c7-955b2fe71add,Gene Expression Quantification,1ed3c6e4-e340-4689-8431-3e9e6e2b6161,Transcriptome Profiling,RNA-Seq
90cb5f76-ec86-4532-8352-e6622ef24980,"[{'case_id': '90ff48c3-b14b-4a8b-94a1-98c0bab0d27b', 'submitter_id': 'TCGA-W8-A86G'}]",01900aab-4c12-4198-b41f-ff638e5abe3b.rna_seq.augmented_star_gene_counts.tsv,90cb5f76-ec86-4532-8352-e6622ef24980,Gene Expression Quantification,3141f410-7586-4b91-9268-d7384a172f3d,Transcriptome Profiling,RNA-Seq
c71bfebf-e152-4706-bd72-07103f936a85,"[{'case_id': '2476dda9-da2a-4242-9642-b92b8b9b1c79', 'submitter_id': 'TCGA-B6-A0IH'}]",b35a11fb-548c-4b6c-99e7-c4114be6411a.rna_seq.augmented_star_gene_counts.tsv,c71bfebf-e152-4706-bd72-07103f936a85,Gene Expression Quantification,239ed06e-6c68-4684-b28e-ef334bb971d9,Transcriptome Profiling,RNA-Seq
